Date,"Close Price"
"2015-09-05 11:30:00",1.27
"2015-09-12 11:30:00",1.06
"2015-09-19 11:30:00",0.85
"2015-09-26 11:30:00",0.72
"2015-10-03 11:30:00",0.71
"2015-10-10 11:30:00",0.64
"2015-10-17 11:30:00",0.52
"2015-10-24 11:30:00",0.54
"2015-10-31 11:30:00",1.01
"2015-11-07 11:30:00",0.88
"2015-11-14 11:30:00",0.91
"2015-11-21 11:30:00",0.94
"2015-11-28 11:30:00",0.92
"2015-12-05 11:30:00",0.85
"2015-12-12 11:30:00",0.93
"2015-12-19 11:30:00",0.9
"2015-12-26 11:30:00",0.9
"2016-01-02 11:30:00",0.96
"2016-01-09 11:30:00",0.97
"2016-01-16 11:30:00",1.26
"2016-01-23 11:30:00",1.75
"2016-01-30 11:30:00",2.57
"2016-02-06 11:30:00",2.49
"2016-02-13 11:30:00",4.87
"2016-02-20 11:30:00",4.53
"2016-02-27 11:30:00",6.11
"2016-03-05 11:30:00",10.83
"2016-03-12 11:30:00",13.29
"2016-03-19 11:30:00",10.7
"2016-03-26 11:30:00",10.73
"2016-04-02 11:30:00",11.44
"2016-04-09 11:30:00",9.77
"2016-04-16 11:30:00",8.26
"2016-04-23 11:30:00",7.82
"2016-04-30 11:30:00",7.9
"2016-05-07 11:30:00",9.19
"2016-05-14 11:30:00",10.05
"2016-05-21 11:30:00",13.41
"2016-05-28 11:30:00",11.02
"2016-06-04 11:30:00",13.65
"2016-06-11 11:30:00",13.83
"2016-06-18 11:30:00",13.76
"2016-06-25 11:30:00",14.28
"2016-07-02 11:30:00",11.96
"2016-07-09 11:30:00",10.71
"2016-07-16 11:30:00",11.84
"2016-07-23 11:30:00",14.46
"2016-07-30 11:30:00",12.66
"2016-08-06 11:30:00",10.34
"2016-08-13 11:30:00",11.8
"2016-08-20 11:30:00",11.08
"2016-08-27 11:30:00",11.24
"2016-09-03 11:30:00",11.88
"2016-09-10 11:30:00",11.69
"2016-09-17 11:30:00",12.72
"2016-09-24 11:30:00",12.9
"2016-10-01 11:30:00",13.17
"2016-10-08 11:30:00",12.24
"2016-10-15 11:30:00",11.75
"2016-10-22 11:30:00",11.75
"2016-10-29 11:30:00",10.76
"2016-11-05 11:30:00",11.12
"2016-11-12 11:30:00",10.31
"2016-11-19 11:30:00",9.67
"2016-11-26 11:30:00",9.3
"2016-12-03 11:30:00",7.85
"2016-12-10 11:30:00",8.25
"2016-12-17 11:30:00",7.59
"2016-12-24 11:30:00",7.27
"2016-12-31 11:30:00",8.01
"2017-01-07 11:30:00",10.04
"2017-01-14 11:30:00",9.6
"2017-01-21 11:30:00",10.65
"2017-01-28 11:30:00",10.55
"2017-02-04 11:30:00",11.24
"2017-02-11 11:30:00",11.32
"2017-02-18 11:30:00",12.75
"2017-02-25 11:30:00",13.42
"2017-03-04 11:30:00",19.49
"2017-03-11 11:30:00",19.69
"2017-03-18 11:30:00",40.29
"2017-03-25 11:30:00",48.65
"2017-04-01 11:30:00",49.55
"2017-04-08 11:30:00",44.85
"2017-04-15 11:30:00",48.94
"2017-04-22 11:30:00",51.63
"2017-04-29 11:30:00",72.84
"2017-05-06 11:30:00",92.66
"2017-05-12 14:19:24",91.81
"2017-05-16 02:19:23",93.37
"2017-05-19 14:19:25",115.15
"2017-05-23 02:19:25",171.56
"2017-05-26 14:30:00",172.1
"2017-05-30 02:30:00",190.48
"2017-06-02 14:30:00",211.29
"2017-06-06 02:30:00",242.44
"2017-06-09 14:50:00",266.03
"2017-06-13 02:50:00",377.89
"2017-06-16 14:50:00",345.59
"2017-06-20 02:50:00",359.37
"2017-06-23 22:40:00",326.46
"2017-06-30 22:40:00",272.89
"2017-07-07 22:40:00",237
"2017-07-14 22:40:00",193.94
"2017-07-19 17:04:10",226.75
"2017-07-23 05:04:08",227.7
"2017-07-26 17:15:00",195.06
"2017-07-30 05:30:00",201.93
"2017-08-02 17:55:00",218.79
"2017-08-06 05:59:12",253.74
"2017-08-10 05:15:00",295.84
"2017-08-13 17:15:00",292.53
"2017-08-18 00:25:00",300.26
"2017-08-21 13:15:00",300.26
"2017-08-25 07:35:11",334.03
"2017-08-29 03:40:02",349.22
"2017-09-01 21:40:04",390.03
"2017-09-05 18:10:02",309.15
"2017-09-11 23:20:02",297.18
"2017-09-18 23:30:02",295.34
"2017-09-25 23:50:02",292.11
"2017-10-02 23:55:02",296.73
"2017-10-10 00:25:05",295.44
"2017-10-17 01:30:02",331.32
"2017-10-24 01:35:02",287.25
"2017-10-31 01:40:02",308.07
"2017-11-07 01:45:02",302.48
"2017-11-14 04:00:02",320.83
"2017-11-21 06:30:07",360.13
"2017-11-28 09:25:03",479.77
"2017-12-06 00:30:04",462.21
"2017-12-13 15:20:02",727.37

"This data was produced from the CoinDesk price page."
http://www.coindesk.com/price/
